,becton dickinson,consolidated edison,centene,docusign,cerner,unitedhealth,uber technologies,microsoft,lululemon athletica,nvidia,paccar,peloton interactive,automatic data processing,lam research,edison,willis towers watson,best buy,lockheed martin,mondelez,exelon,twitter,walt disney,public service enterprise,alphabet,yum brands,broadcom,duke,netflix,apple,charles schwab,fiserv,regeneron,micron technology,estee lauder,vf,dollar tree,transdigm,wells fargo,southwest airlines,xilinx,corning,sempra,mckesson,sherwin williams,baxter,costar,seagen,edwards lifesciences,goldman sachs,splunk,svb financial,american,freeport mcmoran,international business machines,twilio,general motors,zimmer biomet holdings,hilton worldwide holdings,intuitive surgical,skyworks solutions,eog resources,delta air lines,ford motor,eaton,conocophillips,microchip technology,roku,coupa software,pinterest,bank of,roper technologies,bristol myers squibb,colgate palmolive,truist financial,northrop grumman,viacomcbs,starbucks,nike,cvs health,t rowe price,cognizant technology solutions,sysco,general electric,qualcomm,etsy,tesla,amphenol,spotify technology,johnson controls,aflac,valero,cme,dow,accenture,altria,dollar general,constellation brands,walgreen boots alliance,mettler toledo,american electric power,ansys,capital one financial,oreilly automotive,chubb ltd,linde,texas instrument,metlife,intercontinental exchange,blackrock,marathon petroleum,travelers companies,berkshire hathaway,comcast,ball,yum china holdings,emerson electric,costco wholesale,zoetis,corteva,moderna,union pacific,ringcentral,pepsico,monster beverage,waste management,veeva systems,schlumberger,medtronic,pfizer,prudential financial,electronic arts,dupont de nemours,palo alto networks,analog devices,cadence design systems,fedex,verisk analytics,autozone,mastercard,servicenow,cummins,marriott,danaher,cigna,square,american express,aptiv,vertex,humana,aon,eli lilly,home depot,crowdstrike holdings,xcel,philip morris,rockwell automation,abbvie,general dynamics,walmart,otis worldwide,okta,exxon mobil,kroger,abbott laboratories,thermo fisher scientific,us bancorp,dominion,allstate,stryker,ebay,progressive,verizon communications,digital realty,citigroup,autodesk,hp,nextera,chevron,carrier global,kinder morgan,prologis,marvell technology group ltd,cisco systems,agilent technologies,illumina,ross stores,boeing,clorox,keysight technologies,teladoc health,kimberly clark,honeywell,general mills,gilead sciences,motorola solutions,fleetcor technologies,idexx laboratories,biogen,intuit,cintas,dexcom,intel corporation,anthem,mcdonalds,paypal holdings,resmed,united parcel service,global payments,boston scientific,morgan stanley,first republic bank,synopsys,parker hannifin,eversource,msci,visa,maxim integrated products,adobe,workday,activision blizzard,alexion,advanced micro devices,caterpillar,amazon com,welltower,amgen,simon property,archer daniels midland,coca cola,norfolk southern,raytheon technologies,facebook,charter communications,ecolab,iqvia holdings,ametek,chipotle mexican grill,paychex,oracle
E,,0.008463138,0.001722865,,,0.005119753,0.000882851,-0.00010526,-0.000915116,0.001632425,,,0.000847705,-0.000154049,0.002821057,-0.003418199,0.005337543,-0.001152807,0.006317316,-0.00055206,-0.000598974,0.000523978,0.00157641,0.000932638,0.000247096,0.003337652,0.001122742,0.001165604,0.000184903,0.000538916,0.001620906,-0.001944557,0.001111798,,0.000960171,0.003237575,,4.52E-05,0.008335771,0.001421054,-0.003310657,0.00206278,0.001069489,0.007752199,,0.001809914,,,-0.000237264,,,-0.000720931,-0.000476213,-0.001626883,,-0.003131243,,-0.001185552,,0.002038503,,0.000440536,0.00095721,0.003436024,-0.000345283,0.001908786,-0.002991459,,0.003447282,-0.00205342,,0.002220067,0.002140865,,0.001590174,0.002402613,0.00196683,-0.002057751,,-0.000482752,,0.003237575,0.006326115,0.002364274,-0.000794176,0.001151122,0.00356322,,0.00107388,0.001471424,0.000506365,-0.000565773,-0.000380447,0.001579256,-0.000156968,0.001964949,,,,0.001294785,0.003040142,,,,0.004366703,,-0.00086241,-0.00098817,0.000503862,-0.001739639,,0.000396131,0.000729824,0.004233851,0.003044775,-0.000568043,-0.000310078,,,0.001472867,-0.00043187,,0.001133046,,0.00332744,-0.004441093,0.001444377,0.000848774,-0.000361449,-0.000125892,0.003768507,0.002427509,,0.002736003,0.001421054,0.002018578,,0.003237575,-0.001993525,,0.003010684,-0.001966018,,,0.003632379,-0.000624142,,,,0.000536142,0.000146767,0.000481302,0.000349807,0.001462862,0.000325775,0.003512193,-0.032370823,,0.000230496,,,0.000167144,0.003521466,,,0.000818472,0.001388617,,0.001852259,0.000591411,,0.000204604,0.000594521,-0.000497274,0.008298608,-0.000464838,0.001859192,-1.37E-05,,0.001167275,0.001530521,,0.001073277,0.002171309,,-0.011597365,-4.70E-05,0.002744486,0.001421054,0.003632379,,0.001480675,,-0.000113508,0.001740279,,,,,,,0.002306802,0.001611317,0.001782201,-0.000209999,-0.002372868,-0.000930415,,-0.000118591,0.000882335,0.001717891,0.001421054,0.002468375,-0.000130873,-0.000475047,0.000348193,0.039901801,,,,0.004241472,0.007084183,0.000278923,,,0.00034988,9.34E-06,0.001133305,0.002995261,0.000745856,0.000504029,0.000185742,0.000458047,,0.001940093,0.002013818,0.001729587,-0.000409058,0.000803959
S,0.004493641,0.0052672,0.008125878,0.001658004,0.003402337,0.004382239,0.001964989,0.001146383,0.00282793,0.001745421,0.021028259,0.00153981,0.003238589,0.002234131,0.003069251,0.002981198,0.00302102,-9.25E-05,0.005438152,0.000389567,-0.001137684,0.003404197,0.002813355,-0.000166987,0.00223177,0.003784125,0.00256477,0.002359767,0.00030304,0.001643048,0.006356601,-0.00412575,0.0022534,,0.007342386,0.001722054,-0.001336569,0.002303647,0.001194783,0.003245372,-0.000348476,0.002094628,0.001311567,0.003532468,0.00244791,0.00169068,-0.00220666,0.001826551,0.001189225,-0.008687453,0.007008386,0.004157684,0.0017269,-0.000310839,0.002216268,0.004155553,-0.003575779,0.002345233,0.002994564,0.001575294,0.007349826,0.001250311,0.001564588,0.001587734,0.001025858,0.005967246,0.006800705,0.002310571,0.002395542,-0.000591206,0.000855304,0.000423954,0.005185671,0.002667135,0.001043834,-0.000310217,0.001231804,0.002032877,0.005950643,0.004979427,0.003037631,0.002243225,0.006463753,0.003055352,-0.002281399,0.002367221,0.004617278,0.005578948,0.002591526,0.005577752,0.001248965,0.011308009,0.000271275,0.003759399,0.001635515,-0.001644402,0.003554717,0.003076587,0.009775479,0.001705482,0.007589754,0.004983764,0.001896173,-0.000271772,0.003637612,,0.006348127,0.000793728,0.001399733,4.80E-05,-0.001111057,0.002601721,0.001106633,0.006426616,0.005077151,0.00097765,-0.002902691,0.0009151,0.002150194,0.000949991,0.001107087,0.006211415,0.003376065,,0.000750678,0.00205277,0.002344096,0.003649729,0.000843604,0.003832887,0.004623829,0.003229629,0.003100616,0.006007566,0.00491564,0.001703673,,-0.001194259,0.00175394,0.006168985,0.002705922,0.00357181,0.004815961,0.006950448,0.002106438,0.003527812,0.006234242,0.003551374,0.018526017,0.001373735,0.000828022,0.002800331,0.00184404,0.002451859,0.001320679,0.008192098,-0.003566481,0.003735213,0.000878826,0.001073783,-0.00171004,0.000722765,0.003040575,0.00114926,0.002071781,0.002080508,0.00255064,0.003368756,0.000323417,0.001882511,,0.002488891,0.003039174,0.001331606,0.005397606,0.001257209,0.00333949,0.001405768,0.000963083,0.002309778,0.0023943,0.006052497,0.001839092,0.003248994,0.00386052,-0.002045968,-0.001047655,0.000629944,0.005661248,0.004340613,,0.003289782,0.011179298,0.001787085,0.005008486,,,-0.000725879,0.003273391,,0.006363438,0.004535343,0.004247721,0.000846254,0.003130745,0.003475145,-0.000204561,0.00553445,0.002721466,0.002068835,-0.002470381,0.005096783,0.005205499,-0.000659658,0.000891778,0.001964073,0.007536875,0.005523974,0.002113152,,0.000114423,0.004764226,0.002051538,,,0.002406104,0.005018231,-0.001985402,0.004432542,0.001905682,-0.000265872,-3.56E-05,3.07E-07,0.009107394,0.002852505,0.003532887,0.004309837,0.002421113,0.002788179
G,0.00405544,0.000844257,0.006891336,0.002534732,0.001440489,0.003830455,0.001127553,0.000800597,0.004049905,0.00166518,0.041729019,0.001326294,0.002537258,0.00148848,0.002735353,0.002839264,0.002513171,0.000398719,0.005091837,0.003140152,-0.000638279,0.001889958,0.001975954,-0.000748163,0.000451495,0.00306112,0.001499653,0.001519799,0.000173393,0.000105201,0.007050281,0.000601733,0.001075457,,0.006797601,-0.001960477,-0.001349733,0.001169501,-0.000552102,0.000842652,0.001671481,0.001841934,0.000340051,0.004491777,0.00178615,0.000768151,-0.004487489,-0.000943928,0.000143847,-0.009883477,0.0187486,0.003237349,0.00037926,0.000153586,0.00083814,0.002007924,-0.000146985,-1.56E-05,0.00356399,0.000699269,0.005687709,0.000338513,0.001413762,0.000310214,0.000190327,0.00529801,0.002889426,0.0053642,0.001161169,0.001751047,0.000344404,0.001009356,0.002680975,0.001753859,0.001065979,0.000825012,0.001291756,0.002091583,0.004839163,0.002570038,0.003195291,0.003140152,0.001552362,0.002019492,0.00225543,0.002003828,0.00136031,0.004028823,0.002346534,0.004462116,2.99E-06,-0.000298913,0.001241367,0.002637954,0.001563778,-0.006345261,0.004130018,0.002600822,,0.001213166,0.004815332,0.003627105,0.003352193,0.003599859,0.00544309,,0.003796934,2.21E-05,0.000923253,-0.000450546,-0.005100681,0.001310534,0.000971924,0.004470303,0.002674865,-2.83E-05,-0.003554139,0.002235742,0.000446389,3.12E-05,-0.00110992,0.008084384,0.002243489,,0.003784801,0.001763995,0.00151455,0.001948594,-0.000267313,0.002517023,0.003120345,0.00260675,0.001988189,0.003253523,-0.000723182,0.000614806,,0.00139199,0.001132145,0.00553148,0.001775687,-6.81E-05,0.003938709,0.006790655,0.001256162,0.002471312,0.005512774,0.002301516,0.001500643,0.00081911,6.52E-05,0.002433405,0.000916459,0.001643364,-0.001604958,0.006558396,0.001323707,0.0022997,0.000965469,-0.00016573,-0.00225288,0.000261585,0.002024168,0.00181954,0.003236016,0.000751838,0.001416857,0.002544369,0.000421071,0.000198229,0.000667132,0.001662002,0.002135767,0.000584467,0.004025874,-0.00282,0.001305555,0.000324351,0.000186368,0.00128075,0.001377084,0.002059308,0.001573042,0.003078466,-0.025715028,0.001287355,-0.001240826,0.001362634,0.001092561,0.003567851,0.002785276,0.00272583,,0.000377855,0.003146425,0.017819674,,-0.004518258,0.000864165,,0.005820217,0.003539524,0.004578985,-0.001295767,0.001245175,0.002470317,-9.55E-05,0.003933678,0.002160036,0.001056856,0.002453893,0.002311505,0.006216757,0.001595413,-0.001347591,0.001044527,0.006726312,0.00476822,,0.001870204,0.000722215,0.002900382,0.002013794,,0.008940397,0.00147917,0.000935825,0.000863725,0.002672094,-0.000816882,-0.001903789,-0.000170697,0.001638004,0.007898485,0.002073495,0.005589867,0.002940946,0.00212618,0.001434105
T,0.002872467,0.005144844,0.007773072,0.0035579,0.003644064,0.004613421,0.002055421,0.001067952,0.004887171,0.002455774,0.007360544,0.001786072,0.00317044,0.00281945,0.002853581,0.002988797,0.003652693,0.000436728,0.005245289,0.000525935,-0.001227566,0.003819001,0.002681911,-0.000261642,0.002975238,0.003391479,0.00218296,0.002836648,0.001057783,0.00127228,0.003700859,-0.001042856,0.003027571,0.00182079,0.008382693,-0.001230776,0.000503796,0.001691962,0.000970277,0.002732763,0.000769071,0.002742484,0.001334069,0.006121204,0.001278198,0.002442088,-0.00422777,0.002105994,0.000994956,-0.004799403,0.019750348,0.003097753,0.002609419,0.001976567,0.001935435,0.00309466,0.002355502,0.001170644,0.001089744,0.003051038,0.006858862,0.001229221,0.001409018,0.002233152,0.001199046,0.004802708,0.00415782,0.006712453,0.002304641,0.002946328,0.00279548,0.001084086,0.004192926,0.003386029,0.001788634,0.001941005,0.001864059,0.003751035,0.007089588,0.003159086,0.00471851,0.002072448,0.002625038,0.003145308,-0.000739554,0.002782329,0.004228016,0.003383034,0.003542527,0.003378527,-0.000749641,0.000615,0.00034715,0.004127969,0.002605769,-0.004430959,0.004251245,0.00379231,0.003815614,0.001305992,0.004736154,-0.008032797,0.003627385,-0.013750784,0.004690598,0.001256844,0.002582253,0.001026051,0.001217903,0.000140204,-7.12E-05,0.00242062,0.001376946,0.004102277,0.002872913,0.003414917,-0.003543636,0.002702025,0.001854775,0.000621463,7.09E-05,0.006824982,0.003384224,0.00111311,0.00016717,0.001122307,0.001858389,0.002006595,0.000514145,0.002967436,0.002594233,0.003126955,0.002284792,0.003159091,0.005571087,0.001704689,0.003569197,-0.000695641,0.001449026,0.003591953,0.001303286,0.003493152,0.004526252,0.006112807,0.003451911,0.003154571,0.000174957,0.002124137,0.013818179,0.001305739,0.000818922,0.002789447,0.000898567,-0.000828526,0.000528026,0.005105986,-0.002291097,0.003127617,0.000520529,-0.000712786,0.002571122,0.000841432,0.002690171,0.001699353,0.002596626,0.004007865,0.00248558,0.002861813,0.001617661,0.00101794,0.001838286,0.002804023,0.002823629,0.001140798,0.004560163,0.000554535,0.001827245,0.001215699,-0.000103592,0.002749786,0.002546533,0.003409493,0.002932952,0.002484419,0.001882361,0.000773248,-0.001056308,0.000910204,0.004463551,0.003684635,0.003070931,0.003394249,0.015673517,0.002068373,0.004604258,0.008371446,0.003243591,-0.000848422,0.003733849,0.001895753,0.002813226,0.003927621,0.00300056,0.001177989,0.002013271,-0.016790242,0.009177903,0.003556314,0.001662098,0.001862203,0.000228653,0.004249714,0.004804983,-0.000357632,-0.000478552,0.001917916,0.005826238,0.004439178,0.003073331,-0.012992867,0.000297535,0.004168337,0.00199635,0.002364325,0.009815605,0.001952037,0.000574499,0.002316861,0.004045287,0.001452014,-0.000682057,-6.44E-05,0.001192301,0.001147429,0.002694807,0.003172858,0.004022942,0.00519052,0.002743427
